imdbID,content,date,director,leadActor,rotten_tomatoes_rating
0056059,A group of men trap wild animals in Africa and sell them to zoos before the arrival of a female wildlife photographer threatens to change their ways.,19 Jun 1962,Howard Hawks,"John Wayne, Elsa Martinelli, Hardy Krüger",64%
0077288,"The manager of a Saint-Tropez nightclub featuring drag entertainment, and his star attraction, are a gay couple. Madness ensues when his straight son brings home a fiancée and her ultra-conservative parents to meet them.",13 May 1979,Édouard Molinaro,"Ugo Tognazzi, Michel Serrault, Claire Maurier",95%
0060668,"In an insane asylum, Marquis de Sade directs Jean Paul Marat's last days through a theater play. The actors are the patients.",13 Apr 1967,Peter Brook,"Patrick Magee, Clifford Rose, Glenda Jackson",93%
0064782,Two unlikely prospector partners share the same wife in a California gold rush mining town.,15 Oct 1969,Joshua Logan,"Lee Marvin, Clint Eastwood, Jean Seberg",33%
0075213,A dying gunfighter spends his last days looking for a way to die with a minimum of pain and a maximum of dignity.,21 Jul 1976,Don Siegel,"John Wayne, Lauren Bacall, Ron Howard",83%
0108323,A documentary about the inventor of the first electronic synthesiser instrument and his subsequent life after he was abducted by the KGB as well as a history of his instrument.,24 Aug 1995,Steven M. Martin,"Leon Theremin, Robert Moog, Clara Rockmore",100%
0080360,A psycho-physiologist experiments with drugs and a sensory-deprivation tank and has visions he believes are genetic memories.,25 Dec 1980,Ken Russell,"William Hurt, Blair Brown, Bob Balaban",85%
0080377,"A trucker turned prize fighter, his brother and their pet orangutan have a series of misadventures involving the mob, corrupt cops, motorcycle gangs and pretty dames.",17 Dec 1980,Buddy Van Horn,"Clint Eastwood, Sondra Locke, Geoffrey Lewis",20%
0080402,An archeologist discovers his daughter is possessed by the spirit of an Egyptian queen. To save mankind he must destroy her.,31 Oct 1980,Mike Newell,"Charlton Heston, Susannah York, Jill Townsend",0%
0080436,A young Asian-American martial artist is forced to participate in a brutal formal street-fighting competition.,29 Aug 1980,Robert Clouse,"Jackie Chan, Kristine DeBell, José Ferrer",67%
0252866,"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.",10 Aug 2001,J.B. Rogers,"Jason Biggs, Seann William Scott, Shannon Elizabeth",52%
0181739,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",10 Aug 2001,"Bobby Farrelly, Peter Farrelly","Laurence Fishburne, Chris Rock, David Hyde Pierce",56%
0230600,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,10 Aug 2001,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan",84%
0244000,5 Southern friends return home when the war ends 1865. But Yankee soldiers and Pinkerton are busy helping a railroad baron grab land from farmers along the planned railroad west. The 5 friends fight back.,17 Aug 2001,Les Mayfield,"Colin Farrell, Scott Caan, Ali Larter",14%
0250202,"""All Over The Guy"" is a contemporary romantic comedy about the quest to find the ""one"" when ""the one"" doesn't know he's the ""one."" It explores the unlikely pairing of two 20-somethings thrown together by their respective best frie...",07 Mar 2002,Julie Davis,"Dan Bucatinsky, Richard Ruccolo, Sasha Alexander",43%
0250323,A woman spirals out of control while trying to keep her son from being found culpable in a murder investigation.,31 Aug 2001,"Scott McGehee, David Siegel","Tilda Swinton, Goran Visnjic, Jonathan Tucker",82%
0261983,Tensions rise within an asbestos cleaning crew as they work in an abandoned mental hospital with a horrific past that seems to be coming back.,14 Sep 2001,Brad Anderson,"David Caruso, Stephen Gevedon, Paul Guilfoyle",66%
0238112,"When a fisherman leaves to fight with the Greek army during World War II, his fiancée falls in love with the local Italian commander.",17 Aug 2001,John Madden,"Nicolas Cage, Penélope Cruz, John Hurt",28%
0250687,"A Las Vegas casino magnate, determined to find a new avenue for wagering, sets up a race for money.",17 Aug 2001,Jerry Zucker,"Breckin Meyer, Amy Smart, Whoopi Goldberg",45%
